Název;E-mail;Telefon
"Antiqua Villa, s.r.o.";info@antiquavilla.sk;"0907 612 315"
"Megyeri Gabriel";vilamariarapovce@gmail.com;"0905 973 756"
"M+B, spol. s r.o.";info@penzionzdiar.sk;"052 4498 138"
"Penzion Breza - Milan Chýrik";penzionbreza2187@gmail.com;"0905 170 799 | 056 6442 182"
"Salaš - Partizánske, s.r.o.";recepcia@salas-partizanske.sk;"0905 625 493"
"Penzión Bezovec, s.r.o.";penzion@penzion-bezovec.sk;"0917 610 064"
"Daniella Pienap, s.r.o.";info@penziondaniella.sk;"0907 947 976"
"Roľnícke družstvo Veľká Rača";penzionsolisko@atlas.sk;"041 4382 990 | 00517950"
"Z + P stav, spol. s r.o.";zpstav@zpstav.sk;"041 4356 206 | 0908 240 771"
"Petráš Stanislav, Ing.";liska@gmail.com;"0915 500 414"
"Poľnohospodárske družstvo LČV so sídlom v Čimhovej";pinia@szm.sk;"0903 515 467 | 0910 227 110 | 00001805"
"Regecová Helena";recepcia@podtromakorunami.sk;"0918 582 697 | 0904 500 447 | 052 4822 596"
"Ciriak Miroslav";ciriak@zdiar.sk;"052 4498 371 | 0905 37 61 59"
"Kramárová Mária";penzion@penzionmaria.sk;"053 4421 649"
"Sandorf s.r.o.";sandorf@sandorf.sk;"034 6599 002"
"Paluba Pavol";;"0915 250 442 | 0948 000 672"
"ISKRA DOS, s.r.o.";info@penzionpodkrivanom.sk;"0947 928 179"
"Contessa, s.r.o.";e-mama@e-mama.sk;"052 4468 505"
"Siteková Andrea";;"0905 279 640"
"SLOV-CONSULTING, s.r.o.";info@penzionuorla.sk;"0903 900 930 | 0903 999 908"
"Tomaka, s.r.o.";sasanka.raca@gmail.com;"420 724 | 616 680"
"Port Club, s.r.o.";portclub@portclub.sk;"043 5524 064"
"Silvester - Michal Majchrák";info@penzionsilvester.sk;"0907 845 400 | 0908 246 926"
"GASTROCENTRUM, spol. s r.o.";info@penzion-viktoria.sk;"0911 163 870"
"Gejdoš Stanislav";penzion@penzionpribisko.sk;"0907 873 336"
"Meliško Roman";penzionlili@gmail.com;"0902 986 247"
"Panoráma - Zoltán Konkoly";vilahermina@vilahermina.sk;"0905 906 620 | 0905 506 840"
"Sklenár Ivan";penzionanup@gmail.com;"037 7781 487"
"Zornička Bardejov s.r.o.";zornickabj@zornickabj.sk;"0911 387 382"
"Erbo s.r.o.";info@penzionister.sk;"0905 850 150"
"Kočinský Jaroslav";;"0948 103 690"
"Ballestrem s.r.o.";talismanpenzion@gmail.com;"0911 146 999"
"PIZZERIA a PENZION ESO - Jana Debnárová";penzion-eso@orvex.sk;
"GEJDÁK - Emil Saniga";info@penziongejdak.sk;"044 4320 297 | 0908 961 182"
"ATTRACT - Ing. Karkó Ján";vintop@vintop-karko.sk;"0905 645 200"
"Mix-Tempo - Peter Bukovský";info@penziondori.sk;"0907 779 183 | 0908 066 489"
"Info Donovaly, s.r.o.";penzionumarsa@zoznam.sk;"048 4199 889 | 048 4199 701"
"Žákovic Marián";penzion@zakovic.sk;"032 7782 403 | 032 7782 277"
"Granec Vladimír";penzion.ranc@zoznam.sk;"0911 959 717"
"Klubica Pavol";penzionvasilko@gmail.com;"0905 632 926"
"PENZIÓN STRACHAN - Jaroslav Strachan";strachan@penzionstrachan.sk;"0905 151 815"
"Penzion Šiška - Ing. Jana Šišková";penzionsiska@penzionsiska.sk;
"IMPRESSION - PhDr. Kornélia Nagyová";info@castel.sk;"031 5693 750 | 0902 717 888"
"I.K.Z. - Ivan Murdzik";penzion@zivka.sk;"0917 277 777"
"Lunter Štefan, Ing.";zubrovica@zubrovica.sk;"048 6194 624"
"SAFIRS - Security services, s. r. o.";penzion@santbernard.sk;"0904 508 508"
"Sršeň Ján, Ing.";terezia.srsnova@gmail.com;"0905 433 074"
"Mažgút Martin";bielypotok@gmail.com;"041 5695 950"
"Rekreačné stredisko Potravinár, s.r.o.";recepcia@oravskahoraren.sk;"0918 494 494 | 043 5524 746"
"Pico, spol. s r.o.";kozak@penzionkozak.sk;"0905 606 327 | 0915 837 778"
"i.DEAL, a.s.";skiparkvruzbachy@skiparkvruzbachy.sk;"0905 227 059"
"PATRIOT Corporation spol. s r.o.";ubytovanie@mlynky.net;"053 4493 354 | 0903 016 865 | 0903 619 194"
"Agrohont, družstvo";penzion@umlynarky.sk;"045 5551 911"
"Snow Sport Services, a.s.";donovaly@damisport.sk;"048 4199 344 | 0903 575 123"
"CECHOSPOL, s.r.o.";cechospol.sk@gmail.com;"0907 371 306 | 041 4376 337"
"Rekreas, s.r.o.";rekreas@rekreas.sk;"0904 388 883 | 0903 219 299 | 041 5002 710"
"Šeli, s.r.o.";selepcova@gmail.com;"0903 064 572"
"Veronika - Viera Kovalčíková";penzion@penzionjasna.sk;"0903 340 139"
"Ltd, s.r.o.";info@kastielfricovce.sk;"051 7911 067"
"Penzión High Tatras, s.r.o.";info@penzionhightatras.sk;"0905 726 330"
"Karpatia, spol. s r.o.";karpatia@tatry.sk;"052 4422 516 | 0903 661 025"
"Penzion Family - Július Viňanský";penzionfamily@gmail.com;"056 6885 611 | 0905 310 450 | 0907 996 400"
"APS Montana, s.r.o.";penzion@montanask.eu;"041 5695 386 | 0902 444 966"
"Bandžuch Ján";info@penzionplejsy.sk;"053 4471 715"
"JK Czajlik ranch - Katarína Czajliková";info@czajlikranch.sk;"0918 629 068"
"HOREC - horské centrum s.r.o.";penzion.podbarancom@gmail.com;"0918 701 661"
"KOP a.s.";penzion@penzionlaliky.com;"0911 860 119"
"Kovalčíková Daniela";info@penzion-rohac.sk;"043 5395 323"
"Vorčák František";penzionhrubjak@orava.sk;"0905 276 971"
"Grygar Tomáš";villajozef@centrum.sk;"0908 844 155 | 0911 524 685"
"AMALION s.r.o.";amalion@amalion.sk;"036 6316 793"
"CHRYZOPAS, s.r.o.";info@dedovkapenzion.sk;"0903 804 948 | 0903 80 49 49"
"Diofa, s.r.o.";info@vendiofa.sk;"031 7855 167"
"Goral turist - Jaroslav Bekeš";goralturistinfo@gmail.com;"0948 887 994"
"PULSE Podhájska s.r.o.";penzion.pulse@gmail.com;"0905 277 257"
"Jančeková Helena";info@penzionzamlynom.sk;"044 4392 100 | 0908 927 282"
"Penzión MARCO POLO, s.r.o.";info@penzionmarcopolo.sk;"043 4285 151 | 0905 534 936 | 0908 395 050"
"Reštaurácia Biely Dom - Lucia Molčanová";bielydom@gmail.com;"0905 657 862"
"Villa Laura, s.r.o.";daniela.liskova@centrum.sk;"0918 472 780"
"Penzión Dvorec s.r.o.";gabrielakuchova@gmail.com;"038 7605 678"
"STEFANIE - Ing. Elvíra Štefanová";penzionstefanie@stefanie.sk;"0903 492 412"
"M I S A N - Ing. Boris Pažický";pazicky@pazicky.com;"052 4467 715"
"Villa Gloria, s.r.o.";rezervacie@villagloria.sk;"0903 722 855"
"Veverková Klára";klara@boudavobrimdole.cz;"420 728 | 465 454"
"Krčmárek Peter, Mgr.";villaharmony@villaharmony.sk;"0905 390 270 | 0903 675 068"
"Petrík Pavel, Ing.";info@pltnici.sk;"0905 314 282"
"Tomajka Ladislav";zelenydom@orava.sk;"0905 752 131"
"AGROSEV, spol. s r.o.";agrosev@agrosev.sk;"045 5456 142"
"Pilarčík Miroslav";info@pensionfamily.eu;"0911 378 424"
"SKICENTRUM KOŠUTKA, s.r.o.";penzion@kosutka.sk;"0905 773 344"
"Hotes, s.r.o.";info@arbos.sk;"036 7491 107 | 0911 685 411 | 0911 141 253"
"Holotéch víška, s.r.o.";info@holotechviska.sk;"034 6244 516"
"Ubytovací penzión - Pavol Pilarčík";monika120@gmail.com;"043 5395 022"
"SULOV ROCKS VALLEY s. r. o.";recepcia@penzionstefanik.sk;"0948 922 339 | 0905 264 653"
"Vikartovský mlyn, s.r.o.";info@vikartovskymlyn.sk;"0917 925 494"
"Cingel Štefan";;"0903 209 593"
"MS – PANORAMA s. r. o.";info@penzionpleso.sk;"0911 233 061"
"VINOHRAD DAMASKUS - Ladislav Skalina";penzion@vinnydom.sk;"0915 175 855 | 056 6283 180"
"Balog Jozef";;"0905 712 800"
"Jakubovová Mária, Ing.";info@ecergov.sk;"0905 432 460"
"Plynomont, s.r.o.";penzioniveta@penzioniveta.com;"035 6582 390"
"Šikov, s. r. o.";info@holiday-liptov.sk;"0903 537 204"
"Garnet Peers, s.r.o.";peter.urbanec@garnetpeers.com;"0903 473 333 | 0903 287 486"
"Koma Tibor";penzion.koma@gmail.com;"0907 871 374"
"IFK & D s.r.o.";kastiel@penzionhanus.sk;"0904 135 525"
"MALINO, s.r.o.";info@penzion-malino.sk;"0948 009 007"
"KORMOŠ - Margita Kormošová";gitakormos@gmail.com;"0905 513 732"
"Hollá Ľubica, Mgr.";penziontajch@penziontajch.sk;"0905 153 160"
"P.V. INVEST s.r.o.";recepcia@nadka.sk;"0917 741 694"
"EKAPO s.r.o.";info@antolskymlyn.sk;"045 6931 311"
"Vydavateľstvo Motýľ, s. r. o.";info@vydavatelstvomotyl.sk;"02 3810 4581"
"Reštaurácia Slalom - František Kulanga";penzion@slalom.sk;"052 4467 216"
"3 M, spol. s r.o.";recepcia@penzionmaria.eu;"0908 910 171"
"Džubák Ján";penzion@stefani.sk;"053 3210 100 | 053 3210 107 | 0903 275 596 | 053 4297 444"
"Crystal Ski, spol. s r.o.";crystalski@crystalski.sk;"069 206 | 2 278+421 | 905 742 352 - penzión | 069 2062 278 | 421 905 | 742 352 | 00614360"
"APETÍT - Agneša Maňaková";info@bonappetitzilina.sk;"0949 309 606 | 0905 741 090"
"Siska Vladimír";penziondeny@gmail.com;"0903 619 018 | 0903 906 106 | 052 44 98 245"
"LVIS-AB, s.r.o.";rezervacie@kralovdvor.sk;"0910 541 568"
"Fontana for you, s.r.o.";fontana@penzionfontana.sk;"044 4392 858"
"UNIM - LH, spol. s r.o.";info@sypka.sk;"0918 399 575"
"Strachan Štefan";info@penzion-dinda.sk;"052 4286 391"
"Agroefekt spol. s r.o.";recepcia@penzionzitava.sk;"035 6450 535"
"PENZION KAMZIK - Jaroslav Vidiečan";kamzik@isternet.sk;"043 5395 263"
"KRASUĽA - Pavel Krasuľa";krasula@slovanet.sk;"052 4498 237"
"Ave International Trading, s.r.o.";info@ajda.sk;"044 5514 440"
"Kršiak Jerguš";stanislav.krsiak@gmail.com;"0908 522 240"
"BAĎO, s.r.o.";info@penzionbado.sk;"0903 714 695"
"Gemgal, s.r.o. Rožňava";restauracia@konskydvor.sk;"058 7321 620"
"Miškovičová Zuzana";info@sport-penzion.sk;"0911 516 333 | 421 32 7 | 76 3113"
"Partners, spol. s r.o.";martinovdvor@centrum.sk;"041 5982 472 | 421 41 7 | 23 49 77"
"Friends Group, s.r.o.";info@penzionjavorina.sk;"0905 835 089"
"Zelinová Tatiana";penzionsonja@szm.sk;"052 4398 108 | 0905 855 719 | 0915 911 246"
"Obšatníková Anna";penzionanima@centrum.sk;"0908 315 244"
"Cholevová Lívia, Mgr.";penzionkaren@zoznam.sk;"0905 978 661"
"U Hromadov s. r. o.";info@uhromadov.sk;"041 5423 877 | 0948 844 779"
"Bekeš Stanislav";;"052 4498 243 | 0908 699 534 | 0907 099 101"
"Penzión Tematín, s.r.o.";tematin@tematin.sk;"033 7970 479"
"Danninger Peter";info@pension-danninger.sk;"0908 536 810"
"AIRMOS, s.r.o.";info@penzionkormoran.sk;"043 5581 434"
"Timea - Mária Šrobová";penziontimea@penziontimea.sk;"043 5395 291"
"VIKTORIA SLOVAKIA, s.r.o.";info@vilaviktoria.sk;"0907 854 214"
"Villa SONNE, s.r.o.";mickmirka@gmail.com;"0905 219 067"
"Agropest, spol. s r.o.";agropestmail@gmail.com;"037 6597 253 | 0911 727 118"
"MAHAJANA s.r.o.";penzionsvatopluk@korytnica.org;"0948 870 202"
"Penzión Hradisko, s.r.o.";motorest.nemecka@gmail.com;"0949 700 730"
"Tokaj Zlatá Putňa s.r.o.";tokaj@zlataputna.sk;"0918 625 846 | 0907 666 113"
"LIOB s.r.o.";penzionstalica@gmail.com;"0917 921 370"
"Penzión Nesvady a. s.";info@ubytovanienesvady.sk;"0905 806 834 | 0915 985 779"
"Penzión Villa, s.r.o.";penzionvilla@penzionvilla.sk;"041 5494 693"
"TBS, a.s.";recepcia@penzion-adam.sk;"032 7772 111"
"REPASU POĽNOFARMA s.r.o.";repasu@gmail.com;"033 7424 635 | 0949 021 307 - chata | 0949 021 307"
"Penzión Malá Fatra - Ján Ďurko";malafatra@nextra.sk;"0903 522 389"
"Pálenica Jelšovce, s.r.o.";restauracia@palenicajelsovce.sk;"0917 564 227"
"Monika - Monika Urbanová";info@penzionurban.sk;"0915 502 444"
"RBV s.r.o.";recepcia@slnieckopenzion.sk;"0905 753 642 | 0918 677 468"
"Benedigová Michaela, Mgr.";rezervacie@staraskola.sk;"0905 456 215"
"PENZION ROJAS - M - Mária Mutišová";info@rojas.sk;"048 6195 228 | 0907 601 943"
"penzión Vendelín - Elena Bírová";penzionvendelin@penzionvendelin.sk;"0911 343 818"
"SHR - Anna Beníková";agro@penziongrunt.sk;"0905 749 859"
"Penzión Váh, s.r.o.";laucek@penzionvah.sk;"052 7728 685 | 0907 040 400"
"Vita Pružina, s.r.o.";penzion@podstrazovom.sk;"0911 240 346"
"PENZIÓN LUCS - Michal Ďurica";lucs@penzionlucs.sk;"0907 818 957"
"Deluks, s.r.o.";janka.knietlova@gmail.com;"0905 967 569"
"Tábor Podvišňové, s.r.o.";mail@tabor-podvisnove.sk;"032 7717 777"
"Jusko Peter";polana@polana.net;"0905 351 057"
"Rusnák Peter";recepcia@penzion-rosnicka.sk;"043 5898 149 | 0903 805 431"
"Chalupka Pavol";recepcia@chalupkapenzion.sk;"052 7781 130 | 0904 501 124"
"RANČ Podlesok s.r.o.";info@rancpodlesok.sk;"0918 407 077"
"JG TRADE s.r.o.";info@penzion-strba.sk;"0907 125 436 | 0949 334 341"
"J.A.A.P, s.r.o.";info@zbojnickakoliba.eu;"0948 151 851"
"CENTRUM - Klaudia Poláčková";info@penzionrosenthal.sk;"0918 945 016"
"BOHEMA - Dušan Pirog";penzionslovakia@gmail.com;"052 4498 127"
"Penzión Encián - Zdenka Uhnáková";info@encian.eu;"052 4467 520"
"Penzión TOMI - Viera Bobriková";penziontomi@hradok.net;"0907 870 109"
"Čajková Jolana, Mgr.";;"0903 279 416"
"Ski - TMG Remata, Stredisko telesne postihnutých športovcov, s.r.o.";tmg@tmg.sk;"0911 243 868"
"BOISE s. r. o.";info@penzionsivykamen.sk;"0948 724 653"
"Penzión u Michala - Ing. Michal Borsík";penzion@michal.sk;"043 5395 314"
"Veratín, s.r.o.";horec@horecliptov.sk;"0914 333 021"
"COMITY, s.r.o.";recepcia@baskevilla.sk;"0903 767 853"
"DURPEG, s.r.o.";admit@admit.sk;"0903 407 564"
"Penzión Čierna Pani - František Padych";recepcia@penzion-cierna-pani.sk;"043 4131 523 | 043 4223 215"
"Paula s.r.o.";info@penzionpaula.sk;"052 4683 713 | 052 772 41 94"
"Sýkora Štefan";sykora@sn.psg.sk;"053 4541 755"
"SPS TATRA, a.s.";krivan.penzion@gmail.com;"0907 080 333 | 0907 499 423"
"M.K.M. Trading, spol. s r.o.";clubmkmmodra@gmail.com;"033 6472 009 | 033 6475 576"
"Nagyová Viktória";mail@penzionopal.sk;"0905 743 982 | 057 4456 825"
"Netta - Janette Bartkóová";penzion.dubky@gmail.com;"0918 185 317"
"Orava Village, s.r.o.";info@oravavillage.sk;"0914 150 025"
"ABC Mészáros - Alfréd Mészáros";penzionhostad@zoznam.sk;"0905 728 919"
"A g f, spol. s r.o.";agf@agfpenzion.sk;"037 7883 343"
"Kulkovský Vladimír";vlado.kulkovsky@orava.sk;"0903 847 558"
"Šuštiak Jozef";penzionsustiak@penzionsustiak.sk;"041 5695 438 | 0903 122 000"
"M&J Slovakia, s.r.o.";info@wellnesszrubovachata.sk;"0905 775 030 | 0905 49 31 81"
"Banskobystrická diecézna spravovacia spol. s r. o., v skratke BBDS, spol. s r. o.";recepcia@penzionzornicka.sk;"048 4299 067"
"Orestav, s.r.o.";info@julkindvor.sk;"0907 142 223"
"Penzión Kohútik s.r.o.";info@penzionkohutik.sk;"0917 176 246"
"RCS, spol. s.r.o.";maxim@maxim-penzion.sk;"046 5412 973 | 0908 727 578"
"TRIOMAX, s.r.o.";info@penzionmax.sk;"0911 123 255"
"Realcom IK s.r.o.";penzionmanin@penzionmanin.sk;"042 4399 031"
"Roko - Róbert Kopera";penzioncentral@penzion-central.sk;"0905 477 501 | 041 4382 974"
"Šimko Ján";info@penzionpodskalicou.sk;"0908 336 424"
"Selveková Andrea";penz.harmonia@gmail.com;"0911 151 634"
"Jusko Rastislav";r_jusko@azet.sk;"0911 656 706"
"Ihnát Pavol";juliana@sirava.sk;"056 6492 108"
"Reštaurácia KLEOPATRA - Milan Kavecký";kleopatra@penzionkleopatra.sk;"041 5498 577 | 0905 850 673"
"VINO TERROIR s.r.o.";info@uzlatejvcely.sk;"0905 990 333"
"Domov Speváckeho zboru slovenských učiteľov";dszsu@dszsu.sk;"046 2333 735 | 00158232"
"AXAL s.r.o.";banskaklopacka@gmail.com;"0948 022 277"
"H+L LUŠŇÁK, spol. s r.o.";info@salas-cabaj.sk;"037 6409 503"
"Meltzerová Erika";erikapenzion@erikapenzion.sk;"052 4422 397"
"TATRY RESORT DK s.r.o.";zdiar@penzion-diana.sk;"0905 352 480"
"Lehotský comp., s.r.o.";lezitranz@lezitranz.sk;"044 5221 866 | 044 5224 500"
"Bekeš Štefan";bekes@penzionkamzik.sk;"0907 197 249"
"Čupka Ľubomír, MVDr.";penzionucupku@penzionucupku.sk;"0911 173 000"
"Vasko - Daniel Bekeš";info@pensionvasko.sk;"052 4498 133 | 0905 238 841"
"ADS Tále, s.r.o.";penzioneka@szm.sk;"0907 828 863 | 0905 340 222"
"Penzión Sidorovo, s.r.o.";info@penzionsidorovo.sk;"0908 519 887"
"ALBATROS TOUR Rožňava, s.r.o.";penziontkm@penziontkm.sk;"0905 439 667"
"PROAD PLUS s.r.o.";info@penzionmara.sk;"0950 598 088"
"Pavlík Jozef";jople@szm.sk;"0905 823 505"
"ORAVA INVEST, s.r.o.";info@oravskyzrub.sk;"0905 116 666"
"GULDINER Star s.r.o.";info@guldiner.sk;"0917 188 453"
"PENZIÓN STÁREK, s.r.o.";info@penzionstarek.sk;"041 5695 359"
"Suchánek Dalibor";penziontopky@gmail.com;"0908 588 996"
"Chabrečková Monika";fatra@terchovavratna.sk;"0948 484 888"
"Villa Vinica s.r.o.";info@villavinica.eu;"033 6477 318"
"Penzión-Restaurant Kaplna - Ing. Blažej Klobušický";penzion@penzion-kaplna.sk;"0905 472 431"
"TERRA Vysoké Tatry - MVDr. Ján Melter CSc.";melter.tatry@gamil.com;"0907 496 049"
"Penzión Centrum, s.r.o.";centrumpenzion@gmail.com;"045 6771 211"
"MAAN - Marián Ondovčík";maan@pensionmaan.sk;"0907 259 779 | 052 4484 680"
"Penzión Schweintaal, s.r.o.";schweintaal@schweintaal.sk;"048 6198 374"
"Sem-Tab - Ing. Dalibor Semjan";info@penzionpramen.sk;"056 6887 388"
"Boreko - Miroslav Bobrovčan";bobrovcan@pavcina-lehota.sk;"0903 022 362 | 044 5548 135"
"SIMON SERVICES, s.r.o.";;"0905 415 721"
"ANFEMATA, s.r.o.";office@podoblazom.sk;"0904 632 343"
"LiptovTravel, s.r.o.";info@sileo.sk;"0907 953 715 | 0905 394 537"
"J.A.S. - Anna Skočíková";slanica@slanica.sk;"043 5524 880"
"JMĎ - Gustáv Jánošík";ujanosika@gmail.com;"0907 682 548"
"Ski3, s.r.o.";info@gazdovskydvor.com;"044 4392 792"
"Penzión Pagy, s.r.o.";info@penzionpagy.sk;"041 2028 901 | 0948 711 173"
"Clearskin II., s.r.o.";rapiclear@rapiclear.sk;"041 7645 494 | 421 41 7 | 23 57 70"
"ROGALO, s.r.o.";penzionrogalo@gmail.com;"052 4425 043 | 0903 631 935"
"Penzión Adria - Beáta Parcová";;"043 5392 428"
"Glonek, s.r.o.";recepcia@normandia.sk;"046 5455 405"
"PENZIÓN ELEFANT, s.r.o.";info@penzionelefant.sk;"037 7786 147"
"Šiffelová Mária";perla@perla-aqua.sk;"0905 213 558"
"Stefanshof, s.r.o.";penzion@stefanshof.sk;"045 6744 097"
"Vaľková Valéria";valeria.valkova@slubicanet.sk;"0915 898 838"
"DOĽANSKÁ KERAMIKA, spol. s r.o.";info@penzionompital.sk;"0902 486 401"
"JAPEKS, s.r.o.";peter.janesik@japeks.sk;"036 6304 020 | 048 4199 726 | 11-643/006"
"PDMM Projekt, s.r.o.";info@penziondrak.sk;"044 3810 301 | 0918 378 207"
"Ottone Plus, s.r.o.";info@penzionflores.sk;"0948 010 181 | 0905 703 708"
"Aquaground, s.r.o.";penzionlagan@penzionlagan.sk;"0911 477 772"
"Villa Dr. Szontagh, spol. s r.o.";info@villaszontagh.com;"0910 505 559"
"MARUNA FARMA, s.r.o.";info@penzionzbojnik.sk;"0917 626 323"
"Brantal Ján";vachtarkuria@gmail.com;"0918 400 413"
"RCS SK spol. s r.o.";maxim@maxim-penzion.sk;"046 5412 973 | 0908 727 578"
"Mažgútová Katarína";info@penzionluka.sk;"0907 317 180"
"Neumahr Tlačiareň, s.r.o.";info@putnickymlyn.sk;"02 6593 4386"
"AGRO ART, spol. s r.o.";recepcia@penzionvinery.sk;
"A.K.R. Tour, s.r.o.";info@penzionbrest.sk;"043 4297 600 | 0908 966 661"
"PANORÁMA, s.r.o.";info@penzionbojnice.sk;"046 5402 141 | 0907 043 077"
"Elkotech, s.r.o.";babiahora@babiahora.sk;"0908 403 040 | 0905 813 953"
"AQUA MARIA s.r.o.";aquamaria.velaty@gmail.com;"056 6700 506 | 0948 027 212"
"Penzión Gitka - Jaroslava Vozárová";gitka@gitka.sk;"043 4222 164 | 0918 403 450"
"EM - PA s.r.o.";recepcia@penzionsivec.sk;"0911 122 299 | 0908 255 929"
"Penzión na Majeri - Zuzana Ožvaldová";info@penzionnamajeri-kaplna.sk;"0910 907 989"
"Belong, s.r.o.";info@penzionnaty.sk;"0903 374 827"
"Bohem Glass - Anikó Csergeová";info@penzionaniko.sk;"0905 380 267"
"NETWORK.SK s.r.o.";chata.felicia@gmail.com;"0907 946 739"
"Grajciar, s.r.o.";grajciar@grajciar.sk;"048 4191 209 | 0903 560 888"
"Snežienka - Tatry, s.r.o.";recepcia@snezienka.sk;"0905 229 740 | 052 7723 393"
"CHATA HOREC s. r. o.";chatahorec@centrum.sk;"0907 239 377"
"HERKULES s.r.o.";info@zlaty-jelen.sk;"0918 510 686"
"Vrábel Róbert";;"057 4880 116"
"CENTER - Jozef Parditka";info@penzionjozefina.sk;"0905 795 940"
"PENZIÓN NA KOPCI - Alena Dobrovičová";dobrovicova@nakopci.sk;"045 6922 325"
"Penzion Mirabel - Jaroslav Hurtešák";penzionmirabel@gmail.com;"0907 122 458"
"M + T Nemec s.r.o.";;"0918 477 527"
"Sečkárová Daniela, RNDr.";ruzomberok@penzionandrej.sk;"0905 821 852"
"MKM Orava, s.r.o.";penzion@severka.sk;"043 5524 590"
"Pavčík Jozef";info@villakrejza.sk;"0905 119 947"
"Fy Mach - Slavomíra Machová";info@penzion-mach.sk;"0905 331 935"
