Název;E-mail;Telefon
"Maladinovo s.r.o.";info@maladinovo.sk;"0914 160 160"
"ROBCENTRA - Róbert Györi";apartman.strbskepleso@gmail.com;"0911 247 149"
"Pacák Martin";info@apartmany-demanovskadolina.sk;"0905 977 655"
"OIL JPM, s.r.o.";pizza@holicskypivovar.sk;"034 6682 400"
"MOTI s.r.o.";info@hilsonjasna.sk;"0918 060 803"
"Solea, s.r.o.";restaurant@meritto.sk;"0911 669 966"
"KRASVILL s. r. o.";zdiar@krasvill.sk;"0905 988 078"
"PEPA TATRY s.r.o.";info@apartmanyzea.sk;"0948 019 922 | 0948 109 859"
"Willow, s.r.o.";info@my-home.sk;"02 5249 5955 | 421 2 52 | 4 95 957"
"Tantum s.r.o.";info@vilamedvedica.sk;
"Dvoran Jozef";jdvoran@gmail.com;"0903 169 748"
"Apartmány Lomnica, s.r.o.";rezervacie@apartmanylomnica.sk;"0917 228 520 | 0911 370 058"
"Chatter, s.r.o.";recepcia@vilagrand.sk;"052 4422 631"
"Edelweiss projekt s.r.o.";holidayresort@telgart.sk;"0944 283 483"
"Sparkler, spol. s r. o.";sparkler10@gmail.com;"0905 963 262"
"Fine s.r.o.";fine@finerestaurant.sk;"0917 603 684"
"Delta - Ing. Beáta Herédyová";info@donovaly-safran.sk;
"Červeňová Mária";maria.cervenova@centrum.sk;"0908 218 675"
"Chochláčová Dagmar, Ing.";apartmany@agata.sk;"0903 701 828"
"Mastery s.r.o.";apartmanafrodita@centrum.sk;"0915 850 600"
"3W, s.r.o.";info@vipapartmany.sk;"0907 734 982"
"Aquaski s.r.o.";v.kolecek@gmail.sk;"0905 463 677"
"MK GASTRO - Maroš Knižka";tatranit@tatranit.sk;"0907 414 506"
"Vojtek Jakub, Ing.";vojtek@jasnavj.sk;"0905 389 510"
"Kalreal, s.r.o.";sales@holidaytale.sk;"0948 214 507"
"Vila Anna, s.r.o.";info@vilaannabesenova.sk;"0907 207 570"
"Machová Jana, Ing.";info@ubytovaniliptov.sk;"420 724 | 005 447"
"Štepita Rastislav, Ing.";bed@bed.sk;"0905 270 007"
"Apartman Taktik, s.r.o.";taktik@panelnet.sk;"0918 329 225 | 0905 614 323"
"DDolina, s.r.o.";info@apartmanymaliarik.sk;"0915 730 073"
"BETA Bilancia, s. r. o.";apartman@studiopodhajska.sk;"0948 383 392"
"Jergencová Andrea";;"0903 255 175"
"Elesko, a.s.";info@elesko.sk;"02 2092 2649 | 02 2092 2650"
"Fairy, s. r. o.";info@santino.sk;"0907 107 539"
"CTS - CONSULTING TRADE SERVICE s.r.o.";apartmanicask@gmail.com;"0908 211 702"
"Horváth Balázs";rezervacia@hbapartment.com;"0908 388 615"
"Judol, spol. s r.o.";szaka53@gmail.com;"0905 354 945"
"Abelia s.r.o.";anna.lukacova@abelia.sk;"0911 460 047"
"Broma Plus s.r.o.";info@broma-demanova.sk;"0905 695 320 | 044 5549 460"
"Šimčeková Andrea";info@apartmanelegant.sk;"0915 221 314"
"AV+SV, s.r.o.";ubytovnahumenne@gmail.com;"0918 405 730"
"Pod Hrebienkom s. r. o.";info@podhrebienkom.sk;"0905 332 122"
"Ephemeral s. r. o.";ephemeral@ephemeral.sk;"0948 268 781"
"K 33, s.r.o.";apartmany@viajasna.sk;"02 4463 7324"
"Kapake s.r.o.";reklama@apartmanykukucin.sk;"0911 892 020"
"Realys, s.r.o.";rezervacie@rekreacnydomvyhne.sk;"0917 837 950"
"Šipková Carmen, Mgr.";astra@slovanet.sk;"0904 806 499"
"Potters - Ing. Anna Hrnčiarová";besenova@apartmanrelax.sk;"0903 807 246"
"Al - Bo, s.r.o.";bozena.zanova@gmail.com;"0905 350 002"
"Hurajtová Alexandra";bo.ba@szm.sk;"0908 512 416"
"Telgárt Services s.r.o.";info@telgartapartmany.sk;"0917 519 923 | 048 6194 131"
"VIVI STORY s. r. o.";apartmany.zakovce@gmail.com;"0948 094 820"
"DELTA VK s.r.o.";reservation@donovaly-safran.sk;"0905 844 412"
"Gerhát Ladislav";gerhat.ladislav@gmail.com;"0905 421 938"
"Eling B+B, s.r.o.";info@mammut-yetti.sk;"048 4116 411 | 0908 289 553 | 0905 667 617"
"DIRECT School - Slavomíra Balková";apartmaneywa@apartmaneywa.sk;"0907 140 257"
"Apartmány Liptov, s.r.o.";recepcia@aliptov.sk;"0907 782 873 | 1205/133"
"Filadelfi Igor";filaexim@gmail.com;"0905 634 850"
"Vila Gitka - Margita Durišová";jasna@vilagitka.sk;"044 5591 700 | 0907 120 950"
"Tatradata s.r.o.";info@motylov.sk;"0907 414 603"
"PM Max, spol. s r.o.";maxkopcok@zmail.sk;"0905 420 792"
"Blanár Martin, RNDr.";rezervacia@apartmanlesanka.sk;"0904 308 556"
"Villa Gardenia s.r.o.";rezervacie@villagardenia.sk;"0901 722 855"
"Rodinná farma-Nikolaj - Ján Nikolaj";z.nikolajova@centrum.sk;"0918 663 709"
"MUCHA APARTMENTS, s.r.o.";info@mucha-apartments.sk;"0907 702 007"
"Drevopal J&F s.r.o.";drevopal@drevopal.eu;"0918 994 654"
"Hospodárová Klaudia, Mgr.";dusan.hospodar@datagate.sk;"0915 459 989"
"Challet Jasná s.r.o.";info@challetjasna.sk;"0917 163 868"
"CENTRAL APARTMANY, s.r.o.";info@centralapartmany.sk;"0948 181 221"
"Zaťkov dvor, s. r. o.";zatkovdvor2019@gmail.com;"0948 449 909"
"Ondrovičová Daniela";penziondaniela@orangemail.sk;"0904 356 961"
"House, s.r.o.";recepcia@liptovapartments.sk;"044 5514 476 | 1205/133 | 044 562 06 36"
"VIP INVEST BB, s.r.o.";;"0910 450 295"
"EUROCEM s.r.o.";kosicerentalapartments@gmail.com;"0910 235 059"
"VODNÝ HRAD s.r.o.";info@vodnyhradhronsek.sk;"0905 869 772"
"Relax-Riviéra s.r.o.";info@apartmanyriviera.sk;"0908 519 405 | 907 446 810"
"Retzerová Tatiana";retzerovt@gmail.com;"0905 557 825"
"Solum, s.r.o.";solum@solum.sk;"0902 411 111"
"Artina, s.r.o.";tocikovamartina@gmail.com;"0905 701 054"
"LUBIA s.r.o.";recepcia@tatragolf.sk;"0948 493 998 | 0948 044 298"
"Apartmány Skalka s. r. o.";info@skalka-terchova.sk;"0904 660 326"
"Zovi s.r.o.";janosikovediery@gmail.com;"0905 324 428"
"Intersped, s.r.o.";apartmany@interspedsro.sk;"0905 716 176 | +421 315 558 607 "
"APTEM s.r.o.";info@apartmany-terchova.sk;
"Faixová Jarmila";ubytovanie@tdm.sk;"0908 662 869"
"Bocatour, s.r.o.";info@crystaljasna.com;"0905 520 142"
"Aqua sleep, s.r.o.";aquasleep@aquasleep.sk;"0905 381 863"
"Ebit s.r.o.";ebit.pp@atlas.sk;"0911 120 672"
"Apartments BEST s. r. o.";besenovabest@besenovabst.sk;"0948 785 968"
"Ambiente Serviced Apartments s. r. o.";office@ambiente-apartments.com;"02 3341 8674"
"Gerendás - Anikó Csomorová";info@vinogerendas.sk;"0915 205 728 | 0908 859 573"
"DEMÄNOVÁ VILLAGE, s.r.o.";recepcia@demanovarezort.sk;"0918 929 444"
"Polubňák Ivan";ubytovaniepolubnak@gmail.com;"0904 134 489"
