Name;Phone;Email
Chata Anna (22068);+421949333121;
Chata Adler (711);737602002 | 604642831;
U Faflíka Chalupa - Vyprávěj (10488);+420603226401;
Chata U Tří smrčků (617);777803057;
Srub Karolínka (3155);777583580 | 776008489;
Roubenky Annaberg (4680);777121043;
Penzion Statek Habří (7101);+420720333420;
Luxusní statek u Sedlčan (2906);602332712 | 31681044006;
Chata KOULE (1875);775331532 | 728575293;
Chalupa k pronájmu (14163);775970597;
Wellness srub (922);732541705 | 608963678;
Dvojchalupa na Valašsku (1935);731172418;
Chalupa Dajan (5025);734125668 | 734123470;
Chalupa k pronájmu (1473);608516546;
U Maxe (3484);608500949;
Tábůrek (42);604272228;
Roubenka Janka a Natálka (3569);605785556;
Chalupa ve Svratce (311);776048385;
Stará Hračkárna (8829);725887091;
Challupa (3478);+420721678757;
Chalupa U lesa (295);737163156;
Chata Karpatia 4 (10111);+421918325096;
Roubenka (6931);724188688;
Sofia House (1706);725725416 | 777252171;
Chata Baronka (3829);603523097;
Chaloupka Sedmička (2504);607535961;
Chalupa ADLA-Klínovec-SUD-SAUNA (1261);777629296 | 773096144;
Chalupa Bella (306);603491264 | 603571328;
Kozlova chalupa (11848);+420731055188;
Rybářská chata na Orlíku (8143);773121007;
Chalupa Plus (3143);608909896 | 777112182;
Chata pod Pustevnami (4327);731628737;
Chata Mira (3138);608065067 | 602455881;
Chalupa Rybníček 9 (2290);703339885 | 603225309;
Roubenka u Macků (169);732180011;
Koblitzer Hof (14939);+420777944120;
Chalupa - Bukovina (113);778474287;
Peckův mlýn - ubytování v soukromí (3753);776795113;
Srdce Krkonoš (Pension 96) (104);734417010;
Chalupa U Ježka (646);774181098 | 774819929;
Vila Vlčí Hora (7762);607137915;
Chalupa Školní louka (13477);776192350;
Chalupa U Kubrta (2936);777349789;
Relax Slapy resort (17462);733556595;
Chata na Pohodu (7769);+420602817688;
Pension Svatý Jan (3681);774949593 | 774949594;
Domeček pod Petřínem (985);737284444 | 603255441;
Chalupa a apartmány LOJKA (638);+420724350365;
Chalupa Viktorie (3345);603478335;
Farma Vyšehrad (9484);602781488;
Ubytování Relax, ubytování v soukromí, dům na pronájem (5150);777900749 | 774707964;
Medová chaloupka (9383);777929922;
Gracie pod Pálavou II (2651);723459505;
Wellness Horská Vílenka (21943);+421907354874;
Chata Sokolská (12115);775029769 | 731477142;
Wellness chata Rosnatka (4950);608523196 | 602623164;
Apartmány Pod Kozákem (13041);+420776100748 | +420777496333;
Šindelářův mlýn (491);606818474;
Roubenka na vršku (973);777838923 | 608321545;
Chalupa U Kapličky v Orlických horách (571);777366060;
Chata U Špidlenů (6103);777200855;
Zrub Liliana (15009);+421948940027;
Ubytování u Babůrků (1882);+420721623607;
Cyklopenzion Bělský les (12226);775724211;
Chalupa Novákova vyhlídka (14827);+420737284444 | +420603255441;
Chata na sjezdovce (1941);736631898;
Apartmány u Medků Šumava (2306);606526734;
Emily House (9819);+420725725416 | +420777252171;
Statek Kopanina (9228);+420605181483;
Roubenka (1089);608608677 | 491005805;
Chalupa Škola - Šajtava - Zdobnická Seč (12540);773538290;
Skála 1827 (2988);724335117 | 724705810;
Srub v zahradě (2853);776811212;
Roubenka Kavánka (9179);+420725405323;
Roubenka (3001);608878915;
Wellness chata v Polabí (18437);778493091;
Roubenky Slunný vrch (4049);777332040;
Chata Liduška (1332);608197377;
Roubenka (333);608027906;
Roubenka a chata u potoka (12435);606462894;
Zelená chalupa (247);607939303;
Roubenka Maruška a Růženka (1081);732711097 | 731165970;
Villa Victoria chata (21565);+421903238669 | +421905105366;
Roubenka Na Stopě (16348);41799689006;
Roubenka (6203);608878915;
Chata Janka (4977);739377830;
Chalupa Tomášek (11293);777629132;
Chalupa Poustevna (10539);603453279;
Ubytování Bartonička (4238);736245464;
Chalet TRIXY (21104);+421907769753;
Chalupa Nekořský Mlýn (4632);+420608283253;
Loketská veranda (2059);+420777289556 | +420777402555;
Chalupa Jonáš (4146);604300031 | 777769494;
U Faflíka (707);;
Českosaská chalupa (6958);;
Chata Na rozcestí (2783);606789058 | 602286202;
Ubytování Dana (2138);606109209;
Pronájem chaty (4644);607775769;
Chalupa Podbrdovka (9651);603820028 | 608520953;
Kabikula - Ještěd (63);604214510;
Resort Kadlecu - Chalupa Jiřík (9509);602465572;
Chata Jeseníky Stejskal (1103);604661540;
Chata Xanadu Sečská přehrada (473);777097456 | 608030258;
Wellness roubenka u lesa (15427);+420606462894;
Roubenka Doubice (9645);732536112 | 603800677;
Chata Měřín (581);724761523;
Chalupa v Prachovských skalách (5353);605707685;
Vila Prachovka (8085);776569500 | 777092949;
Chalupa v Jizerkách (2003);603160162;
Na bílé stopě (7588);777587505;
Chalupa Dias (424);+420602483783 | +420602462562;
Chata Eliška (5038);602402303;
Chalupa Hluboký potok (2082);+420721275572 | +420731777529;
Chalupa u Pražmů (8637);604526749;
Chata Klárka (11500);725299742;
Chatky Máj u Máchova jezera (2406);776831640;
Fara Jítrava (3241);732716992;
Chalupa Majolenka (13766);602164607;
Wellness Chata u Pinkasů (11335);605822249 | 776285440;
Glamping Vyhlídka (16455);+420774279650 | +420776708183;
Chalupa Dědina (8098);+420603893467;
Búda Pod Terasou (14175);604677947;
Hájenka Ovesná (2311);608954051;
Chalupa Dobrá duše (1765);775189800;
Chalupa Hoblina (16569);775632504;
Chalupa 33 (1443);774555062 | 777003109;
Chalupa k pronájmu (5185);603202456;
Sborovna (14886);731021558;
Chata Javorka (4062);;
Chalupa Lenička (7962);606620345;
Chalupa Na potoce (5267);604798403 | 774626155;
Chalupa Müller (1245);608205200 | 608784725;
Svatá Panna (3549);607983983;
Ajova chaloupka (17429);606384145;
Drevníky Resort Slapy (6900);777953237;
Pronájem chalupy (11244);602331019 | 605769997;
U Milouše (8598);724237238 | 602310794;
Pronájem chalupy (2219);608338860;
Chalupa u Břízek (13951);603740878;
Chata Mikulčin vrch (1088);722774036 | 702556017;
Lovecká chalupa u dančí obory (9473);604295669;
Turistická chata Chopok (7785);+421915654008;
CHALUPA ZA KOSTELEM (1779);606431967;
Penzion U Růži (4752);603282004;
Statek (2210);777245863;
Chalupa Rzehaczek (5883);608814431 | 774891997;
Chalupa Pod sadem (16143);+420774086428 | +420778401441;
Chata naše (2750);725529064;
ROUBENKA U LESA u Máchova jezera (4566);776111177;
Chata pod Červeným Kamenem (1128);604826386;
Samota Hojšín (3236);737628529;
Chalupa U Vincků (861);702063223;
Chalupa Adel (13366);607939303;
Ubytování - vinný sklep Habánská (3243);722275337;
Chalupa Pustá (170);605941293;
Pohádková chaloupka (6028);603483236;
Chalupa pod Křížovkou (8280);724013687;
Luxusní chalupa k pronájmu (2975);;
Chata Bečva (3897);736187350;
Roubenka Rejmanka (8135);604618875 | 603501261;
Chalupa Bukovka (1029);603180041;
Wellness Chata Relax (9782);775753033;
Chata Anička (16302);606789058 | 602286202;
Chata TOS u Berounky (17356);602609178;
Chalupa u Mnicha (445);777556477;
Chata Záva (2518);733578590;
Chata 542 (16105);+421902947053 | +421905347463;
Roubenka Alžběta (3042);+420601592177;
Podlužanka (730);412379036 | 602402303;
Chatky Český ráj (8226);737265101;
Chalupa k pronájmu (3746);604543002;
Chalupa Harrachov 156 (11292);777988724 | 728419676;
Roubenka na kopci (10368);+420770667398;
CHATA SKALA (363);+420602693961 | 728915293;
Chata Lucie (5500);773749092;
U Ilčíků - Dubňanská hora (9397);735708800 | 777087794;
Statek u Benešů (1481);602621839 | 6066612371800;
Chalupa pod Milešovkou (11598);+420602426840 | +420227023273;
Chalupa u Frimlů (7167);720383874 | 733186770;
Apartmány Stachy (5242);732425733;
Pronájem chaty (2308);602760753;
Chalupa u oveček (8815);607697859;
Chata u Fousků (3055);778151256;
Bouda Šedesátka (65);607507632;
Chata Lipno 1 (4967);775108542;
Chalupa Trosenka, pod hradem Trosky (7112);605155795;
Chalupa Veselka (4881);777982226 | 775944222;
SRUB Machov – samota, klid, bez lidí, v lese (2556);608821201 | 724452964;
Vila Veles (17826);+421917659073 | +421907220279;
Chalupa Pod Sviní horou (2343);603932444;
Chalupa v srdci Českého ráje (5369);603474306;
Chata Jílové (8230);724109509;
Chalupa U kapličky (788);608919211;
Malá chalupa Pod Kohútkou (4915);731612589;
Relax chata Všemily (11580);606764178;
Penzion Orlicko (16602);777203445;
Chalupa pod Sněžnou (10359);773034746 | 799795516;
Chalupa Melody (3344);737163156;
Pohádkový srub u ZEDA (4802);602774173 | 606715797;
Villapark Vlašky (7821);+421948524553;
Chalupa pod Radhoštěm (1074);777726326;
Chalupy Libošovice (1479);730654266;
Chata Bára (5446);775109990;
Malá Roubenka Doubice (13773);+420732536112 | +420603800677;
Pension Jana - wellness (10603);777113399;
Sklářská chalupa (11459);733397545;
Chata Krušnohorka (1408);603808256 | 604212674;
Chata Radim (615);723892260 | 606461883;
Chata Ludmila (1993);+420725392722;
Na Baštově (6361);602258453;
Chata Biela Stopa (19301);+421901911211;
Farma Mokřiny (13413);608541522 | 608541521;
Wellness roubenka (6474);725851468;
Chata u Švéda (2252);728353696;
Chalupa Na Špici (1463);737999310 | 739274167;
Chata na Priedomí (17302);+421905826837;
Drevenica Čakanka a Drevenica Nezábudka (22102);+421903420220 | +421904894733;
Chalupa Tri Koruny (18981);+421902409660 | +421911380484;
Chalupa Písty (214);602963987;
Drevenice Pod Rozsutcom (16873);+421905585001;
Penzion Keramika (11342);602476331;
Roubenka nad řekou (9528);723671341;
Pronájem chaty (7554);777733033;
Chalupa Závětří (11008);605824590;
Chalupa k pronájmu (4020);736400656;
Chalupa U Halířů (6195);732330418 | 604426053;
Roubenka Háj (6456);721046446 | 728979036;
Statek u Chobotnice (277);604377590;
Penzion Alpina (9765);776767028 | 776604600;
Chalupa U Rožnova pod Radhoštěm (3188);603859250 | 603859006;
Chata Jasněnka (8389);732151723;
Chata Motýľ (8594);+421907325196;
Chata Starý Mlyn (17816);+421949802031;
Chalupa U Krále (11438);+420777072548;
Chalupa Háj 1 (1026);;
Chata Medellin (10107);+421918051463;
Chata pod Kapličkou (4947);607693620;
Chalupa Kadeřávek (6099);605853307 | 566562839;
Roubenka na Rovince (1188);776898277 | 603425145;
Chalupa Pohodička (3737);777440300;
Chata k pronájmu (302);608474748;
Velká roubenka (15501);731210568 | 733113229;
Chalupa v Českém lese (14057);+420737304946;
Roubenka u sjezdovky (14325);608442552;
Chalupa Rynartice - Křížový Vrch (8996);605700006;
Chalupa Kovárna (155);739064672;
Scholzův mlýn (11309);605959574;
Chata 69 (898);603237124 | 774999254;
Vila u Kubíka (12040);774205471;
Statek U Medvěda (878);777788799 | 777788798;
Chalupa v Brdech (1034);606644156;
Chalupa Potočná (1265);608716283;
Chata Orion (1565);773783770;
Chalupa pod Kohútkou (4899);604601671;
Chalupa U rybníka Buchov (3514);608889506;
Chalupa Sedmé nebe (10560);602640444 | 606733855;
Chalupa Na Chválovce (16067);604215870 | 731686755;
Chalupa u buku (836);773469129;
Račovská chalupa (5600);602769038;
Penzion pod Hlubočkou (9914);735188136;
Villa Viola (725);602311393 | 728063597;
Chalupa na Kolářce (3531);602185028;
Wellness Life (6116);608083711;
Ubytování Na kovárně (12533);731481728;
LIPTOVSKÉ CHATY (2837);+421905715112;
Chalupa u Kocourka (11885);+420775750001 | +420777039612;
Apart Kobylí (10444);+420775937119;
Pronájem chalupy (4604);607775769;
Pronájem chalupy (5089);;
Penzion Annemarie (1462);773114064 | 607781972;
Chalupa Malá Morávka 50 (11699);603748767;
Chalupa Zaječí (9479);737049397;
Chalupa Lucie (7569);774888942;
Wellness Chalupa U tří soviček (11822);724537889;
Apartmány Ořechovka Wellness (18872);+420702123404 | +420720365522;
CHALUPA PAPAJKA (2208);603563582;
Horská chata Teráska (16519);602601245;
U Jelení studánky (1120);776601662 | 777983174;
Wellness srub (18139);731571770;
Ubytovaní v soukromí (12406);+420606913846 | +420721414156;
Chalupa u Kocoura (9616);737061610 | 605551172;
Domeček (4213);604356147;
Roubenka pod Klepáčem (477);;
Statek Humenec (11597);725951239;
Chalupa č.p. 53 (5652);773919232 | 773141354;
Hájovna Šerlišský Mlýn (7745);606618250;
Chalupa Na Pramenech (1979);778422551;
Chalupy Na Smrčku (10663);606661700;
Chalupa u Studánky (1701);+420724853116;
Chalupa Sihelné (4720);728520800;
Chata 2W sports (10643);777754768 | 608702221;
Chalupa Pod Smrčinou (3574);777173031 | 777283345;
Chalupa Na Stráni (22122);737573907;
Pronájem chaty (3264);724010002;
Chalupa U Hřebíků (9634);603470254;
Chalupa - Apartmány Bukovec s Bazénem (3446);737853659;
Chata u Lužnice (706);731499522;
Chalupa Julia (13940);775081079;
Holany chata k pronájmu (12186);+420608906000;
Chata na vyhlídce (6614);777611037;
Chata k pronájmu (4442);602717766;
Chalupa Čenkovka (8346);774458128 | 776038128;
Chalupa k pronájmu (14971);775970140 | 775796000;
Chata pod skálou (5258);602230895;
Chalupa Anděl (5156);608828151;
Chaloupka na vršku (14650);777941887;
Chaty u Lipna (9724);777563193;
Chata u Vltavy+Orlíku (9029);602491611;
Chalupa u řeky (19104);739334932;
Chata Relax (21031);720279770;
Chalupa pod Kralickým Sněžníkem (5965);606755445;
Chalupa U Štěpánky (3449);604466755;
Chata U Biziho (7320);732712115;
Chalupa Měšťan (16467);606831095;
Chalupa na konci světa (7838);777847089;
Riegerova bouda (13890);739500516 | 725352282;
Chata Nýdek (4813);608806055 | 605986149;
Ubytování na Dvojce (13060);721004859 | 721004755;
PŘÁTELÉ - vinný sklep (12026);604187120;
Apartmány Lužnice (12758);736776781;
Chalupa Maršovice (15161);+420731441164 | +420606256185;
Vila MAX - BAZÉN & SAUNA (14059);;
Rekreační dům (6729);602309607;
Chata - Penzion Ema (3921);602791092 | 724033620;
Truhlářská chalupa (2877);+420608161636 | +420777026246;
Chalupa Vošmenda (18755);778119666 | 736768292;
Pronájem chaty (29);603232961;
Chata Písník (10871);774431144 | 773159505;
Chalupa k pronájmu (11350);+420777658661;
U Posledního Rožmberka (2040);602478927;
Chata v Údolí s vířivkou (253);777611037;
Mezi pařezy (18038);605297957;
Chalupa Bečvanka (1236);737750895 | 603562687;
Chaloupka pod dubem (2828);775036065;
Tradiční třeboňský statek u Šafářů (9780);721843679;
Bungalov u Rozkoše (17193);737829371 | 605591119;
Wellness Roubenka Elenka (16414);724621154;
Chalupa Stará Voda (7623);602265903;
Mlýn pod lesem (3832);+420607889109;
Pension U Lesa (16292);+420603398758;
U Kohouta (1958);732480732 | 603574715;
Chata U Liščího potoka (3011);+420774272942;
CHALUPA pro celou rodinu (3431);606846376;
Roubenka Pastvina - welness chalupa (17121);724511159 | 773598940;
Chalupa Na Grapě 2 (13249);603873154 | 603873157;
Chata u Kamily (15872);604703256;
Chalupa k pronájmu (1371);493546913 | 603259528;
Chalupa Denis & Marek (5451);603895252 | 732952313;
Chata Štrbianka (7347);+421905405827;
Ubytování Oliverius (3634);723286920 | 728916329;
Ubytování u nás (17049);776555311;
Chalupa Salmov (9999);777331408;
Chalupa pod Bezdězem (9);;
Chaloupka Dáša (14173);+420773743792 | +420606711788;
Roubenka 44 (6675);608880859;
Chata přímo u vody Slapská přehrada (8638);603450495;
Welness Roubenka Křižánky - All inclusive (13547);733499788;
Chalupa u Lukešů (742);607800822;
Chata Pohodička (14891);724411266;
Chalupa Pod Panským vrchem (1126);724251357;
Chata Dobrá Voda (1487);602853197;
Chalupa U Hovorků s dvorem, zahradou a bazénem (8077);724371770;
Tatranske chalupy (19067);+421919381742;
Homeland - krásný dům se zahradou (19143);777730988;
Chalupa k pronájmu - cykloráj (6802);721603224;
Chata Babča (9004);602162195 | 724272520;
Ubytování u Foltýnů (17232);776404995 | 725398620;
Chalupa Slunečná (886);608831676 | 739219792;
Roubenka u Jakuba (9620);724331290;
Chalupa Vrátno 16 (13181);603766750 | 603917009;
Chalupa na Polaně (5087);+420608884327;
Cottage U Čechů - Hideaway in Bohemian (22057);+420776878043 | +4917644467225;
Kotrčův Mlýn (5664);608715048;
Chalupa Andělka (525);773170172;
Wellness chaloupka Stará škola (1621);608930088 | 608011319;
Chalupa Karolina a Vendula (2083);725824446 | 608882289;
Chata Fajfrtka (9014);604948838;
Horske chaty Zagrapa (7281);+421907899585;
Selské stavení Melchior Häusler (16359);604427264;
Jiná báseň (10801);608880579 | 732555251;
Chata pod Radhoštěm s výhledem (8051);727822977;
Chata Vápenná (5783);775378352;
Tvrz Svinná (19315);725742809;
Chata Alpina 1 a 2 (9521);+420605271590 | +420605271580;
Chata Zrůbek - Slapy (9334);775105319;
Chalupa (4195);608608677;
Chata Michael (8473);724521289;
Chalupa u Prachovských skal (3544);605707685;
Chata MIMONKA (10572);+421944011537;
Roubenka Přebuz (11074);724080861;
Žlutá chalupa (13862);+420775668036 | +420737061932;
Srub k pronájmu (281);602564033;
Chalupa Měňany (7892);777754756;
Drevenica Simona (8753);+421903987200;
Chalupa Pod Peklem (14913);725575152;
Chata Marcella (17866);+421908302618 | +421905365729;
Chata u Labe (21671);774759060;
Pronájem chalupy (8274);602339323;
Podlešanský mlýn s wellness (4532);603251775;
Big Win House (9547);777617037;
Chata k pronájmu (3697);+420774940241;
Chalupa v Brdech (16365);776554472 | 777568460;
Darmyšl No.13 (7236);606080638;
Chalupa k pronájmu (10342);777966061;
Chalupa Šejmovka v srdci Jizerských hor (5158);720991571;
Chata Monika (10856);702914645;
Chalupa Širůček (18770);723359306;
Ubytovanie Lucka (2025);+421902466790;
Kůlna u Pálavy (5573);604236472;
Chata Ťawa (2147);603851861;
Chalupa k pronájmu (9806);773674433;
Chata Gabionka - Slapy (8892);724761523;
Chalupa Veselíčko 44 (13635);+420739729699;
Rekreační domek Kateřina (1223);604569743;
Apartmány u Dlouhána (3864);775853730;
Rodinná chalupa (12686);776236476 | 608341429;
Wellness dům Sudoměřice (15042);731118899;
Chalupa U Ťukalů (5365);737847877 | 731037694;
Chalupa Sofie (22066);731118899;
Horská chaloupka (8303);602659674;
Chata Beduna (13910);+420608272715 | +420777273838;
Chata Karolínka (19824);+421907208972 | +421948842008;
Roubenka pod lesem (7192);604439370;
Chalupa u Jezírka (19950);732334761;
Chata pod Suškami (13669);606809332;
Na Kopanicích (11238);739260296;
Chata Lojzovy Paseky (3332);775108542;
Ubytování (1534);723715686;
Pronájem chaty (1509);602346426;
Chaloupka u Bílého potoka (5024);728143476 | 603740967;
U Kutnarů (15931);731556023 | 603486680;
Chaty Studienky (16436);+421908171771 | +421903886329;
Chalety Olešná (19290);+421940641414 | +421908088123;
Pronájem chalupy (9324);;
Chalupy okolo Jalovca (13812);+420733531075;
Roubenka Orlice (17467);;
Chata Raciborka (18722);+421905965460;
Chalupa No.79 (1491);606532509;
Apartmány Růžová (19743);602672711;
Olivia House (4035);725725416 | 777252171;
Chata k pronájmu (5940);;
Maxovo království Český ráj (5716);+420737936993 | +420604207439;
Dřevařská chalupa (14066);608965251;
Chalupa pod Bozkovem (12703);605307236;
SRUB (9796);605002448 | 777689412;
Chalupa (5234);722002900 | 737113900;
Chata Lahvanka (12231);774362009;
Ševcovský domek (2292);603214693;
Chalupa k pronájmu (3871);735173925;
Babiččina chalupa (8877);605955801;
Chata Poděs (774);777952791;
Horská chata Děvín (3424);+420607535961;
Chata Špičák (9608);739080374;
Horský dům Kilian (17166);605715048 | 604182202;
Chalupa U hřiba (1887);601337070;
Holiday house JIDAIMA (7882);737659112;
Chata Severka s Wellness (1894);605213901;
Pronájem chalupy (3744);606391443;
Chata Erik (12948);608842455;
Maringotka u rybníčku (10946);725684795;
Chalupa Doubice (4030);732536112 | 603800677;
Relax chata Vřesky (14159);737520678 | 739307662;
Chata k pronájmu (5072);602943018;
CHATA PASTVINY (6846);;
Chalupa U KAPLIČKY (12617);774491199 | 774481199;
Chalupa Annenské Stráně (2548);775645581 | 739626187;
Chalupa U Babi (10740);774897895;
Srub Pod Lípou (15511);775722300 | 775722310;
Chata Dračí doupě (18186);774279130 | 739218973;
Chalupa Zvonička (1599);606961319 | 730970900;
Chata U Potůčku (11695);602559594 | 728839876;
Wellness chata Zinka (21367);+421907354874;
Chalupa k pronájmu (5337);777575998;
Pronájem chalupy (4399);737475178;
Harrachovská chalupa Pelíšek (671);602220868 | 602315641;
Srub PEDLA (5052);774232131 | 776723750;
Chaty Vysočina (3922);;
Chalupa Majdalenka (810);720383874 | 739243125;
Chaty Pohoda na Soláni (9113);724411266;
Chalupa U řeky (2566);608977146;
Chalupa Mikulášovice (4229);775495049;
Apartmány Fišerka (9924);603895429;
Drevenička Bystrianka (2294);+421905212103;
Chata u sjezdovky (245);606445766;
Chata Chřástalka (13519);603525619;
Apartmán (11933);734482938 | 777929611;
Maringotka Herba (17218);+420607818100;
Chalupa za smrkem (14208);721029565;
Malá Kráska (5235);+420608391550;
Sagasserovy boudy U Dvou vleků (3835);731177532;
Chaloupka u potoka (10893);774505040;
Penzion Veronika (11861);604912634;
Ubytování Pálavské slunéčko (15792);775538000;
Chata Ribana (11564);+420778500121 | +420775096119;
Chata k pronájmu (126);777138164 | 777224528;
Horská chalupa U Nás (2797);602696977;
Ubytování Idylka (4057);604366223;
Roubenka (17661);724276817;
Chata Apollo (6457);721550812;
Chalupa U ČÁPŮ (9021);774481199 | 774491199;
Chata (1076);731066991;
Statek U Žáků (2204);602252484;
Chata Cajhamlovka (8476);724836252;
Luxusný zrub (4565);+421948414753;
Mlýn Březinka (14866);608063803;
Lavečka u Valtic (15758);602692875;
Chalupa Balcar (2706);605154686;
Chalupa Pod jehličím (14709);722010259;
Roubenka Pod Skalkami (13105);604233332;
Chata Macko (4272);+421904313333 | +421904333313;
Chata u Vojta (2297);+420739457983 | +420737483355;
Chalupa u Macochy (1516);602280714;
Hájenka u lanovky na Komáří Vížku (8869);702207324;
Ubytování Eret Pernink (6249);721913050;
Chata U Pepy (9893);608919211;
Chata Buchtovna (318);739500093 | 733696300;
Chalupa k pronájmu (2921);774733799;
Roubenka Kamennka (14461);+420603275675;
Chalupa České Petrovice (9385);775119729 | 777693917;
Tuněchodský mlýn (4107);603112568;
Chalupa k pronájmu (3671);775214919;
Chalupa k pronájmu (14907);777331871;
Roubenka (41);606716849 | 605259122;
Orlí hnízdo - areál Hradišek (5635);774242334;
Náš Sklep (12117);604531513;
Hogo Fogo chaty (15755);774618922 | 723435803;
Chata Adamec (21023);+421908699534;
Apartmány (13681);774331676;
Chalupa Barunka (13871);778749151 | 778541110;
Chata 31 k pronájmu (2523);602162195 | 724272520;
Chata Boženka (224);777165075;
Statek Blatiny (10888);775913929 | 775613929;
Roubenka Branná (11603);777313080;
Rezort Jedľovník (19297);+421918792571;
Chalupa Měděnecká (7501);739905325 | 736154170;
Villa Vidim (17432);603583892;
Chalupa k pronájmu (18800);773300286 | 603273316;
Chalupa u Hrobařů (7602);777637946;
Ubytování Pod Jilmem (6989);773907038;
Apartmán RuR (17880);725888588;
Pronájem Srubu (9747);602313581 | 777018810;
Vila Mavida (11130);+420604210510;
Historický statek Kojetice (2579);602290538;
Sněhurka (9558);602454383;
Chalupa U haltýře (62);724056299;
Chalupa U Matěje (2349);776107899;
Chata k pronájmu (4691);777804801 | 777980746;
Villa Organica (21458);730688950 | +436644077863;
Ubytování Pod Jeskyněmi (15297);777675768;
Chata Bystrina s jacuzzi kaďou a saunou (1857);+421905389691;
Chata Jeseníky (1);603257876;
Horská chata Svahová (10097);+420724952283;
Vinný sklep U Terezy a Jakuba (401);518129638 | 721732563;
Na chalupě u lesa (15);607652232;
Roubenka U hrochů (11331);775206897;
Chata k pronájmu (1093);606936830;
Chalupa Na louce (1361);776578486;
Chalupa u Hanáků (3717);604166527;
Chalupa Jeseníky (4081);607750134 | 736481121;
Roubenka Lucie (3073);777004684;
Vila Rybníček (11894);608333538 | 724359868;
Chalupa Pod Šerovnou (17774);722944663;
Spolský dvůr (17092);602654365;
Villa Liptovská Mara (17846);+421905105555;
Chalupa Rozálka (5782);731668603;
Chata Mamutka (3362);777150909 | 608150910;
Prázdninový dům Koliba (19462);772728785;
Chata Trojka (1496);602629149;
Drevenica Natálka (8370);+421903654166 | +421903868489;
Chalupa na Kovárně (2169);;
Chata Červená Karkulka (19096);+421919381742;
Relaxclub Kersko (177);775034605;
Horská vila Meluzína (14190);+420602247801;
Drevenica Rybárie (12763);+421905949801;
Penzion Pod Chřiby (9319);775780017;
